ASX Code,Security Group Code,Issuer Name Full,Product Description Abbrev,Last Price ($),Business Date
ART   ,EQY,AIRTASKER LIMITED                                           ,ORDINARY            ,0.19,20230630
ARU   ,EQY,ARAFURA RARE EARTHS LTD                                     ,ORDINARY            ,0.305,20230630
ARV   ,EQY,ARTEMIS RESOURCES LIMITED                                   ,ORDINARY            ,0.014,20230630
ARX   ,EQY,AROA BIOSURGERY LIMITED                                     ,ORDINARY            ,0.925,20230630
AS2   ,EQY,ASKARI METALS LIMITED                                       ,ORDINARY            ,0.285,20230630
ASB   ,EQY,AUSTAL LIMITED                                              ,ORDINARY            ,2.37,20230630
ASG   ,EQY,AUTOSPORTS GROUP LIMITED.                                   ,ORDINARY            ,2.03,20230630
ASH   ,EQY,ASHLEY SERVICES GROUP LIMITED                               ,ORDINARY            ,0.71,20230630
ASM   ,EQY,AUSTRALIAN STRATEGIC MATERIALS LIMITED                      ,ORDINARY            ,1.1,20230630
ASN   ,EQY,ANSON RESOURCES LIMITED                                     ,ORDINARY            ,0.155,20230630
ASNNB ,EQY,ANSON RESOURCES LIMITED                                     ,DEFERRED EX OPTION  ,-,-
ASO   ,EQY,ASTON MINERALS LIMITED                                      ,ORDINARY            ,0.078,20230630
ASP   ,EQY,ASPERMONT LIMITED.                                          ,ORDINARY            ,0.012,20230629
ASQ   ,EQY,AUSTRALIAN SILICA QUARTZ GROUP LTD                          ,ORDINARY            ,0.045,20230630
ASR   ,EQY,ASRA MINERALS LIMITED                                       ,ORDINARY            ,0.007,20230630
ASW   ,EQY,ADVANCED SHARE REGISTRY LIMITED                             ,ORDINARY            ,0.12,20230616
ASX   ,EQY,ASX LIMITED                                                 ,ORDINARY            ,63,20230630
AT1   ,EQY,ATOMO DIAGNOSTICS LIMITED                                   ,ORDINARY            ,0.022,20230630
ATA   ,EQY,ATTURRA LIMITED                                             ,ORDINARY            ,0.885,20230630
ATC   ,EQY,ALTECH BATTERIES LTD                                        ,ORDINARY            ,0.087,20230630
ATH   ,EQY,ALTERITY THERAPEUTICS LIMITED                               ,ORDINARY            ,0.007,20230630
ATM   ,EQY,ANEKA TAMBANG (PERSERO) TBK (PT)                            ,CDI  1:5            ,1.07,20230615
ATP   ,EQY,ATLAS PEARLS LTD                                            ,ORDINARY            ,0.042,20230630
ATR   ,EQY,ASTRON CORPORATION LIMITED                                  ,CDI 1:1             ,0.485,20230630
ATS   ,EQY,AUSTRALIS OIL & GAS LIMITED                                 ,ORDINARY            ,0.03,20230630
ATU   ,EQY,ATRUM COAL LIMITED                                          ,ORDINARY            ,0.005,20230309
ATV   ,EQY,ACTIVEPORT GROUP LTD                                        ,ORDINARY            ,0.1,20230629
ATX   ,EQY,AMPLIA THERAPEUTICS LIMITED                                 ,ORDINARY            ,0.076,20230630
AU1   ,EQY,THE AGENCY GROUP AUSTRALIA LTD                              ,ORDINARY            ,0.026,20230630
AUA   ,EQY,AUDEARA LIMITED                                             ,ORDINARY            ,0.032,20230630
AUB   ,EQY,AUB GROUP LIMITED                                           ,ORDINARY            ,29.4,20230630
AUC   ,EQY,AUSGOLD LIMITED                                             ,ORDINARY            ,0.046,20230630
AUE   ,EQY,AURUM RESOURCES LIMITED                                     ,ORDINARY            ,0.15,20230628
AUG   ,EQY,AUGUSTUS MINERALS LIMITED                                   ,ORDINARY            ,0.28,20230630
AUH   ,EQY,AUSTCHINA HOLDINGS LIMITED                                  ,ORDINARY            ,0.0035,20230630
AUI   ,EQY,AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED                ,ORDINARY            ,9.79,20230630
AUK   ,EQY,AUMAKE LIMITED.                                             ,ORDINARY            ,0.003,20230630
AUN   ,EQY,AURUMIN LIMITED                                             ,ORDINARY            ,0.031,20230630
AUQ   ,EQY,ALARA RESOURCES LIMITED                                     ,ORDINARY            ,0.028,20230630
AUR   ,EQY,AURIS MINERALS LIMITED                                      ,ORDINARY            ,0.01,20230630
AUT   ,EQY,AUTECO MINERALS LTD                                         ,ORDINARY            ,0.024,20230630
AUZ   ,EQY,AUSTRALIAN MINES LIMITED                                    ,ORDINARY            ,0.016,20230630
AV1   ,EQY,ADVERITAS LIMITED                                           ,ORDINARY            ,0.044,20230630
AVA   ,EQY,AVA RISK GROUP LIMITED                                      ,ORDINARY            ,0.2,20230630
